artifact_id,upgr_desc
0-آثارنا المنهوبة_25_p020_e27076bd,"Earrings, gold. Pair of identical gold earrings with rings on both sides, small pieces attached to the rings by a small fragrance belt, and four small rings at the ends, with hanging elements shaped like bells."
0-آثارنا المنهوبة_25_p027_b022fb35,"Human statue, stone, fragmentary, with broken limbs. The figure is shown wearing a robe extending the full length of the body. The face is clearly defined, with a long nose, beard, two wandering eyebrows, and two eyes with jealous pupils. The description is incomplete in the source text."
0-آثارنا المنهوبة_25_p036_bea25d9f,"Sculptural fragments, bronze and marble stone: two pieces comprising the front of a bronze right foot and a marble stone hand. Third century BC. Dimensions: 6.5 cm and 6 cm."
0-آثارنا المنهوبة_25_p037_76bcbec5,"Lot, art, dimensions 12.7 × 18.5."
0-آثارنا المنهوبة_25_p038_a303509a,"Jar, burned clay, with a slightly wide outward-flaring nozzle, puffed body, side handles, and decoration of geometric crawling triangles and by-lines painted in black and red."
0-آثارنا المنهوبة_25_p039_21a0fd74,"Object, material not specified. No descriptive information about the object is provided beyond the text “9 - 16 1.66 LOT - ART - 16 1.66 LOT - ART.”"
0-آثارنا المنهوبة_25_p041_16bc353c,"Head of a human statue, marble, depicting a male head with a long neck and a partially preserved face. The eyes are indicated by drilled pupils, the nose is pierced, the eyebrows are arched and joined to the nose, the mouth is pierced, and the ears are preserved on both sides."
0-آثارنا المنهوبة_25_p043_e92bb9bc,"Animal statue, bronze, depicting a camel with a hard head, a slight mid-back hump, and a strapped small tail behind the hind legs. Metal. Dimensions: 10.2 cm x 9 cm (4 x 3.55 in); additional measurement given as 3.9 in (9.9 cm). Early millennium BCE."
0-آثارنا المنهوبة_25_p044_1394a6c0,"Lot, material not specified. No further object description is provided in the source text."
0-آثارنا المنهوبة_25_p045_eaae26b1,"Pavilion, bronze, with a nine-line inscription and a composition featuring the stylized forms of a recumbent animal mediated by a palm tree; two holes are present in the upper corners."
0-آثارنا المنهوبة_25_p046_0ea08f6c,"Object type not specified; material not specified. The source text contains only the fragment “6 . 1.1 19.5 LOT - ART . 1.1 19.5 LOT - ART” and does not provide sufficient information to identify the object, its materials, typology, technique, dimensions, or period."
